InvoiceLineId,InvoiceId,TrackId,UnitPrice,Quantity
1,1,2,0.99,1
2,1,4,0.99,1
3,2,6,0.99,1
4,2,8,0.99,1
5,2,10,0.99,1
6,2,12,0.99,1
7,3,16,0.99,1
8,3,20,0.99,1
9,3,24,0.99,1
10,3,28,0.99,1
11,3,32,0.99,1
12,3,36,0.99,1
13,4,42,0.99,1
14,4,48,0.99,1
15,4,54,0.99,1
16,4,60,0.99,1
17,4,66,0.99,1
18,4,72,0.99,1
19,4,78,0.99,1
20,4,84,0.99,1
21,4,90,0.99,1
22,5,99,0.99,1
23,5,108,0.99,1
24,5,117,0.99,1
25,5,126,0.99,1
26,5,135,0.99,1
27,5,144,0.99,1
28,5,153,0.99,1
29,5,162,0.99,1
30,5,171,0.99,1
31,5,180,0.99,1
32,5,189,0.99,1
33,5,198,0.99,1
34,5,207,0.99,1
35,5,216,0.99,1
36,6,230,0.99,1
37,7,231,0.99,1
38,7,232,0.99,1
39,8,234,0.99,1
40,8,236,0.99,1
41,9,238,0.99,1
42,9,240,0.99,1
43,9,242,0.99,1
44,9,244,0.99,1
45,10,248,0.99,1
46,10,252,0.99,1
47,10,256,0.99,1
48,10,260,0.99,1
49,10,264,0.99,1
50,10,268,0.99,1
51,11,274,0.99,1
52,11,280,0.99,1
53,11,286,0.99,1
54,11,292,0.99,1
55,11,298,0.99,1
56,11,304,0.99,1
57,11,310,0.99,1
58,11,316,0.99,1
59,11,322,0.99,1
60,12,331,0.99,1
61,12,340,0.99,1
62,12,349,0.99,1
63,12,358,0.99,1
64,12,367,0.99,1
65,12,376,0.99,1
66,12,385,0.99,1
67,12,394,0.99,1
68,12,403,0.99,1
69,12,412,0.99,1
70,12,421,0.99,1
71,12,430,0.99,1
72,12,439,0.99,1
73,12,448,0.99,1
74,13,462,0.99,1
75,14,463,0.99,1
76,14,464,0.99,1
77,15,466,0.99,1
78,15,468,0.99,1
79,16,470,0.99,1
80,16,472,0.99,1
81,16,474,0.99,1
82,16,476,0.99,1
83,17,480,0.99,1
84,17,484,0.99,1
85,17,488,0.99,1
86,17,492,0.99,1
87,17,496,0.99,1
88,17,500,0.99,1
89,18,506,0.99,1
90,18,512,0.99,1
91,18,518,0.99,1
92,18,524,0.99,1
93,18,530,0.99,1
94,18,536,0.99,1
95,18,542,0.99,1
96,18,548,0.99,1
97,18,554,0.99,1
98,19,563,0.99,1
99,19,572,0.99,1
100,19,581,0.99,1
